model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,11,gidiyoruz,A_merged,gidiyoruz,19015,-3.904296875,-2.935546875,-0.96875,3,1s,gidiyorum,1s,gidiyorum,False,-3.904296875,-2.5068359375,-1.3974609375,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,1s,,Her gün okula ,gidiyorum,11,gidiyorum,A_merged,gidiyorum,23301,-2.935546875,-3.013671875,0.078125,1,3s,gidiyor,1s,gidiyorum,True,-2.935546875,-2.5068359375,-0.4287109375,2,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2p,ambiguous_prodrop,2p,,Her gün okula ,gidiyorsunuz,11,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,-5.013671875,-2.935546875,-2.078125,5,1s,gidiyorum,1s,gidiyorum,False,-2.5068359375,-2.935546875,0.4287109375,1,1s,gidiyorum,2p,gidiyorsunuz,True,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_2s,ambiguous_prodrop,2s,,Her gün okula ,gidiyorsun,11,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,-6.103515625,-2.935546875,-3.16796875,6,1s,gidiyorum,1s,gidiyorum,False,-3.0517578125,-2.5068359375,-0.544921875,4,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_3p,ambiguous_prodrop,3p,,Her gün okula ,gidiyorlar,11,gidiyorlar,A_merged,gidiyorlar,41311,-4.94140625,-2.935546875,-2.005859375,4,1s,gidiyorum,1s,gidiyorum,False,-4.94140625,-2.5068359375,-2.4345703125,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_ambiguous_prodrop_3s,ambiguous_prodrop,3s,,Her gün okula ,gidiyor,11,gidiyor,A_merged,gidiyor,6215,-3.013671875,-2.935546875,-0.078125,2,1s,gidiyorum,1s,gidiyorum,False,-3.013671875,-2.5068359375,-0.5068359375,3,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_1p,possessive_person,1p,,Çantamız hazır. Yola ,çıkıyoruz,11,çıkıyoruz,A_merged,çıkıyoruz,31917,-2.576171875,-6.0859375,3.509765625,1,3s,çıkıyor,1p,çıkıyoruz,True,-2.576171875,-3.3916015625,0.8154296875,1,1s,çıkıyorum,1p,çıkıyoruz,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_1s,possessive_person,1s,,Çantam hazır. Yola ,çıkıyorum,11,çıkıyorum,C_multi_split,çık | ıyorum,573 | 1605,-3.2763671875,-4.984375,1.7080078125,1,1p,çıkıyoruz,1s,çıkıyorum,True,-1.63818359375,-4.5537109375,2.91552734375,1,2p,çıkıyorsunuz,1s,çıkıyorum,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_2p,possessive_person,2p,,Çantanız hazır. Yola ,çıkıyorsunuz,11,çıkıyorsunuz,B_suffix_split,çıkıyor | sunuz,4654 | 1711,-5.481201171875,-3.486328125,-1.994873046875,3,1p,çıkıyoruz,1p,çıkıyoruz,False,-2.7406005859375,-3.486328125,0.7457275390625,1,1p,çıkıyoruz,2p,çıkıyorsunuz,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_2s,possessive_person,2s,,Çantan hazır. Yola ,çıkıyorsun,11,çıkıyorsun,B_suffix_split,çıkıyor | sun,4654 | 833,-6.564453125,-3.248046875,-3.31640625,5,1p,çıkıyoruz,1p,çıkıyoruz,False,-3.2822265625,-2.607421875,-0.6748046875,4,1s,çıkıyorum,1s,çıkıyorum,False,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_3p,possessive_person,3p,,Çantaları hazır. Yola ,çıkıyorlar,11,çıkıyorlar,C_multi_split,çık | ıyorlar,573 | 2876,-6.328125,-3.53515625,-2.79296875,5,1p,çıkıyoruz,1p,çıkıyoruz,False,-3.1640625,-2.665771484375,-0.498291015625,3,2p,çıkıyorsunuz,2p,çıkıyorsunuz,False,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_possessive_person_3s,possessive_person,3s,,Çantası hazır. Yola ,çıkıyor,11,çıkıyor,A_merged,çıkıyor,4654,-3.802734375,-4.0078125,0.205078125,1,1p,çıkıyoruz,3s,çıkıyor,True,-3.802734375,-2.8154296875,-0.9873046875,5,2p,çıkıyorsunuz,2p,çıkıyorsunuz,False,possessive_person,Possessive person,possessive_suffix
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_prior_predicate_person_1p,prior_predicate_person,1p,,Az önce geldik. Biraz ,dinleniyoruz,11,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-9.15625,-11.0703125,1.9140625,1,1s,dinleniyorum,1p,dinleniyoruz,True,-4.578125,-4.868489583333333,0.29036458333333304,1,2p,dinleniyorsunuz,1p,dinleniyoruz,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_prior_predicate_person_1s,prior_predicate_person,1s,,Az önce geldim. Biraz ,dinleniyorum,11,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-8.8984375,-10.93359375,2.03515625,1,3s,dinleniyor,1s,dinleniyorum,True,-4.44921875,-4.520833333333333,0.07161458333333304,1,2p,dinleniyorsunuz,1s,dinleniyorum,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_prior_predicate_person_2p,prior_predicate_person,2p,,Az önce geldiniz. Biraz ,dinleniyorsunuz,11,dinleniyorsunuz,B_suffix_split,din | leniyor | sunuz,1527 | 6567 | 1711,-11.79248046875,-10.54296875,-1.24951171875,4,1p,dinleniyoruz,1p,dinleniyoruz,False,-3.9308268229166665,-5.197916666666667,1.2670898437500004,1,2s,dinleniyorsun,2p,dinleniyorsunuz,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_prior_predicate_person_2s,prior_predicate_person,2s,,Az önce geldin. Biraz ,dinleniyorsun,11,dinleniyorsun,B_suffix_split,din | leniyor | sun,1527 | 6567 | 833,-10.41455078125,-9.875,-0.53955078125,2,3s,dinleniyor,3s,dinleniyor,False,-3.4715169270833335,-4.619791666666667,1.1482747395833335,1,2p,dinleniyorsunuz,2s,dinleniyorsun,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_prior_predicate_person_3p,prior_predicate_person,3p,,Az önce geldiler. Biraz ,dinleniyorlar,11,dinleniyorlar,C_multi_split,dinlen | iyorlar,10316 | 4880,-9.859375,-10.453125,0.59375,1,1p,dinleniyoruz,3p,dinleniyorlar,True,-4.9296875,-5.005859375,0.076171875,1,2p,dinleniyorsunuz,3p,dinleniyorlar,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_prior_predicate_person_3s,prior_predicate_person,3s,,Az önce geldi. Biraz ,dinleniyor,11,dinleniyor,C_multi_split,din | leniyor,1527 | 6567,-11.74609375,-10.23046875,-1.515625,3,1s,dinleniyorum,1s,dinleniyorum,False,-5.873046875,-4.748046875,-1.125,5,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,11,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-9.923828125,-11.630859375,1.70703125,1,3s,dinleniyor,1p,dinleniyoruz,True,-4.9619140625,-5.194661458333333,0.23274739583333304,1,2p,dinleniyorsunuz,1p,dinleniyoruz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,11,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-10.03515625,-11.73828125,1.703125,1,3s,dinleniyor,1s,dinleniyorum,True,-5.017578125,-5.248697916666667,0.23111979166666696,1,2p,dinleniyorsunuz,1s,dinleniyorum,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_mixed_token_dinlenmek_2p,control_mixed_token_dinlenmek,2p,,Çok yoruldunuz. Bu yüzden ,dinleniyorsunuz,11,dinleniyorsunuz,B_suffix_split,din | leniyor | sunuz,1527 | 6567 | 1711,-11.873046875,-11.00390625,-0.869140625,2,3s,dinleniyor,3s,dinleniyor,False,-3.9576822916666665,-5.0859375,1.1282552083333335,1,2s,dinleniyorsun,2p,dinleniyorsunuz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_mixed_token_dinlenmek_2s,control_mixed_token_dinlenmek,2s,,Çok yoruldun. Bu yüzden ,dinleniyorsun,11,dinleniyorsun,B_suffix_split,din | leniyor | sun,1527 | 6567 | 833,-10.44091796875,-9.796875,-0.64404296875,2,3s,dinleniyor,3s,dinleniyor,False,-3.4803059895833335,-4.549479166666667,1.0691731770833335,1,2p,dinleniyorsunuz,2s,dinleniyorsun,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_mixed_token_dinlenmek_3p,control_mixed_token_dinlenmek,3p,,Çok yoruldular. Bu yüzden ,dinleniyorlar,11,dinleniyorlar,C_multi_split,dinlen | iyorlar,10316 | 4880,-11.50390625,-11.6640625,0.16015625,1,3s,dinleniyor,3p,dinleniyorlar,True,-5.751953125,-5.46484375,-0.287109375,3,2s,dinleniyorsun,2s,dinleniyorsun,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_mixed_token_dinlenmek_3s,control_mixed_token_dinlenmek,3s,,Çok yoruldu. Bu yüzden ,dinleniyor,11,dinleniyor,C_multi_split,din | leniyor,1527 | 6567,-10.951171875,-12.3515625,1.400390625,1,1s,dinleniyorum,3s,dinleniyor,True,-5.4755859375,-5.051432291666667,-0.42415364583333304,3,2s,dinleniyorsun,2s,dinleniyorsun,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_token_matched_yapmak_1p,control_token_matched_yapmak,1p,,Çok acıktık. Bu yüzden kahvaltı ,yapıyoruz,11,yapıyoruz,A_merged,yapıyoruz,6983,-5.859375,-7.65625,1.796875,1,3s,yapıyor,1p,yapıyoruz,True,-5.859375,-7.65625,1.796875,1,3s,yapıyor,1p,yapıyoruz,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_token_matched_yapmak_1s,control_token_matched_yapmak,1s,,Çok acıktım. Bu yüzden kahvaltı ,yapıyorum,11,yapıyorum,A_merged,yapıyorum,12367,-5.765625,-7.4609375,1.6953125,1,3s,yapıyor,1s,yapıyorum,True,-5.765625,-7.4609375,1.6953125,1,3s,yapıyor,1s,yapıyorum,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_token_matched_yapmak_2p,control_token_matched_yapmak,2p,,Çok acıktınız. Bu yüzden kahvaltı ,yapıyorsunuz,11,yapıyorsunuz,A_merged,yapıyorsunuz,20675,-7.828125,-6.50390625,-1.32421875,4,1p,yapıyoruz,1p,yapıyoruz,False,-7.828125,-6.50390625,-1.32421875,4,1p,yapıyoruz,1p,yapıyoruz,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_token_matched_yapmak_2s,control_token_matched_yapmak,2s,,Çok acıktın. Bu yüzden kahvaltı ,yapıyorsun,11,yapıyorsun,A_merged,yapıyorsun,32308,-7.58203125,-6.09375,-1.48828125,4,1s,yapıyorum,1s,yapıyorum,False,-7.58203125,-6.09375,-1.48828125,4,1s,yapıyorum,1s,yapıyorum,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_token_matched_yapmak_3p,control_token_matched_yapmak,3p,,Çok acıktılar. Bu yüzden kahvaltı ,yapıyorlar,11,yapıyorlar,A_merged,yapıyorlar,13167,-7.4609375,-6.5078125,-0.953125,4,1p,yapıyoruz,1p,yapıyoruz,False,-7.4609375,-6.5078125,-0.953125,4,1p,yapıyoruz,1p,yapıyoruz,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
