model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,phase1_control_token_matched_yapmak_3s,control_token_matched_yapmak,3s,,Çok acıktı. Bu yüzden kahvaltı ,yapıyor,11,yapıyor,A_merged,yapıyor,3428,-6.8671875,-6.8984375,0.03125,1,1p,yapıyoruz,3s,yapıyor,True,-6.8671875,-6.8984375,0.03125,1,1p,yapıyoruz,3s,yapıyor,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,23,gidiyoruz,A_merged,gidiyoruz,19015,-5.0390625,-3.388671875,-1.650390625,3,3s,gidiyor,3s,gidiyor,False,-5.0390625,-3.05078125,-1.98828125,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_ambiguous_prodrop_1s,ambiguous_prodrop,1s,,Her gün okula ,gidiyorum,23,gidiyorum,A_merged,gidiyorum,23301,-4.3828125,-3.388671875,-0.994140625,2,3s,gidiyor,3s,gidiyor,False,-4.3828125,-3.05078125,-1.33203125,4,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_ambiguous_prodrop_2p,ambiguous_prodrop,2p,,Her gün okula ,gidiyorsunuz,23,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,-6.1015625,-3.388671875,-2.712890625,4,3s,gidiyor,3s,gidiyor,False,-3.05078125,-3.388671875,0.337890625,1,3s,gidiyor,2p,gidiyorsunuz,True,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_ambiguous_prodrop_2s,ambiguous_prodrop,2s,,Her gün okula ,gidiyorsun,23,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,-7.01171875,-3.388671875,-3.623046875,6,3s,gidiyor,3s,gidiyor,False,-3.505859375,-3.05078125,-0.455078125,3,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_ambiguous_prodrop_3p,ambiguous_prodrop,3p,,Her gün okula ,gidiyorlar,23,gidiyorlar,A_merged,gidiyorlar,41311,-6.25,-3.388671875,-2.861328125,5,3s,gidiyor,3s,gidiyor,False,-6.25,-3.05078125,-3.19921875,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_ambiguous_prodrop_3s,ambiguous_prodrop,3s,,Her gün okula ,gidiyor,23,gidiyor,A_merged,gidiyor,6215,-3.388671875,-4.3828125,0.994140625,1,1s,gidiyorum,3s,gidiyor,True,-3.388671875,-3.05078125,-0.337890625,2,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_possessive_person_1p,possessive_person,1p,,Çantamız hazır. Yola ,çıkıyoruz,23,çıkıyoruz,A_merged,çıkıyoruz,31917,-1.2626953125,-4.66796875,3.4052734375,1,3s,çıkıyor,1p,çıkıyoruz,True,-1.2626953125,-3.2529296875,1.990234375,1,1s,çıkıyorum,1p,çıkıyoruz,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_possessive_person_1s,possessive_person,1s,,Çantam hazır. Yola ,çıkıyorum,23,çıkıyorum,C_multi_split,çık | ıyorum,573 | 1605,-1.8505859375,-4.00390625,2.1533203125,1,1p,çıkıyoruz,1s,çıkıyorum,True,-0.92529296875,-3.6201171875,2.69482421875,1,2s,çıkıyorsun,1s,çıkıyorum,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_possessive_person_2p,possessive_person,2p,,Çantanız hazır. Yola ,çıkıyorsunuz,23,çıkıyorsunuz,B_suffix_split,çıkıyor | sunuz,4654 | 1711,-4.02081298828125,-3.59765625,-0.42315673828125,3,1p,çıkıyoruz,1p,çıkıyoruz,False,-2.010406494140625,-3.05615234375,1.045745849609375,1,1s,çıkıyorum,2p,çıkıyorsunuz,True,possessive_person,Possessive person,possessive_suffix
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_possessive_person_2s,possessive_person,2s,,Çantan hazır. Yola ,çıkıyorsun,23,çıkıyorsun,B_suffix_split,çıkıyor | sun,4654 | 833,-3.576416015625,-2.7060546875,-0.870361328125,4,1s,çıkıyorum,1s,çıkıyorum,False,-1.7882080078125,-1.35302734375,-0.4351806640625,2,1s,çıkıyorum,1s,çıkıyorum,False,possessive_person,Possessive person,possessive_suffix
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_possessive_person_3p,possessive_person,3p,,Çantaları hazır. Yola ,çıkıyorlar,23,çıkıyorlar,C_multi_split,çık | ıyorlar,573 | 2876,-3.533203125,-1.73828125,-1.794921875,2,1p,çıkıyoruz,1p,çıkıyoruz,False,-1.7666015625,-1.73828125,-0.0283203125,2,1p,çıkıyoruz,1p,çıkıyoruz,False,possessive_person,Possessive person,possessive_suffix
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_possessive_person_3s,possessive_person,3s,,Çantası hazır. Yola ,çıkıyor,23,çıkıyor,A_merged,çıkıyor,4654,-2.544921875,-2.779296875,0.234375,1,1p,çıkıyoruz,3s,çıkıyor,True,-2.544921875,-2.29541015625,-0.24951171875,2,1s,çıkıyorum,1s,çıkıyorum,False,possessive_person,Possessive person,possessive_suffix
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_prior_predicate_person_1p,prior_predicate_person,1p,,Az önce geldik. Biraz ,dinleniyoruz,23,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-9.01171875,-10.302734375,1.291015625,1,3s,dinleniyor,1p,dinleniyoruz,True,-4.505859375,-4.324869791666667,-0.18098958333333304,2,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_prior_predicate_person_1s,prior_predicate_person,1s,,Az önce geldim. Biraz ,dinleniyorum,23,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-7.9609375,-9.3359375,1.375,1,3s,dinleniyor,1s,dinleniyorum,True,-3.98046875,-4.5,0.51953125,1,2s,dinleniyorsun,1s,dinleniyorum,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_prior_predicate_person_2p,prior_predicate_person,2p,,Az önce geldiniz. Biraz ,dinleniyorsunuz,23,dinleniyorsunuz,B_suffix_split,din | leniyor | sunuz,1527 | 6567 | 1711,-10.89794921875,-10.494140625,-0.40380859375,2,3s,dinleniyor,3s,dinleniyor,False,-3.6326497395833335,-5.067057291666667,1.4344075520833335,1,2s,dinleniyorsun,2p,dinleniyorsunuz,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_prior_predicate_person_2s,prior_predicate_person,2s,,Az önce geldin. Biraz ,dinleniyorsun,23,dinleniyorsun,B_suffix_split,din | leniyor | sun,1527 | 6567 | 833,-9.378662109375,-8.908203125,-0.470458984375,2,3s,dinleniyor,3s,dinleniyor,False,-3.126220703125,-4.4541015625,1.327880859375,1,3s,dinleniyor,2s,dinleniyorsun,True,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_prior_predicate_person_3p,prior_predicate_person,3p,,Az önce geldiler. Biraz ,dinleniyorlar,23,dinleniyorlar,C_multi_split,dinlen | iyorlar,10316 | 4880,-10.26953125,-9.908203125,-0.361328125,2,3s,dinleniyor,3s,dinleniyor,False,-5.134765625,-4.9541015625,-0.1806640625,2,3s,dinleniyor,3s,dinleniyor,False,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_prior_predicate_person_3s,prior_predicate_person,3s,,Az önce geldi. Biraz ,dinleniyor,23,dinleniyor,C_multi_split,din | leniyor,1527 | 6567,-10.345703125,-11.61328125,1.267578125,1,1s,dinleniyorum,3s,dinleniyor,True,-5.1728515625,-4.78125,-0.3916015625,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,prior_predicate_person,Prior predicate person,finite_predicate
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,23,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-10.00390625,-10.048828125,0.044921875,1,3s,dinleniyor,1p,dinleniyoruz,True,-5.001953125,-4.483072916666667,-0.518880208333333,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,23,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-8.92578125,-9.83984375,0.9140625,1,3s,dinleniyor,1s,dinleniyorum,True,-4.462890625,-4.537760416666667,0.07486979166666696,1,2s,dinleniyorsun,1s,dinleniyorum,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_mixed_token_dinlenmek_2p,control_mixed_token_dinlenmek,2p,,Çok yoruldunuz. Bu yüzden ,dinleniyorsunuz,23,dinleniyorsunuz,B_suffix_split,din | leniyor | sunuz,1527 | 6567 | 1711,-8.504150390625,-8.17578125,-0.328369140625,2,3s,dinleniyor,3s,dinleniyor,False,-2.834716796875,-4.087890625,1.253173828125,1,3s,dinleniyor,2p,dinleniyorsunuz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_mixed_token_dinlenmek_2s,control_mixed_token_dinlenmek,2s,,Çok yoruldun. Bu yüzden ,dinleniyorsun,23,dinleniyorsun,B_suffix_split,din | leniyor | sun,1527 | 6567 | 833,-8.29541015625,-8.0244140625,-0.27099609375,2,3s,dinleniyor,3s,dinleniyor,False,-2.76513671875,-4.01220703125,1.2470703125,1,3s,dinleniyor,2s,dinleniyorsun,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_mixed_token_dinlenmek_3p,control_mixed_token_dinlenmek,3p,,Çok yoruldular. Bu yüzden ,dinleniyorlar,23,dinleniyorlar,C_multi_split,dinlen | iyorlar,10316 | 4880,-10.671875,-8.666015625,-2.005859375,2,3s,dinleniyor,3s,dinleniyor,False,-5.3359375,-4.296223958333333,-1.039713541666667,4,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_mixed_token_dinlenmek_3s,control_mixed_token_dinlenmek,3s,,Çok yoruldu. Bu yüzden ,dinleniyor,23,dinleniyor,C_multi_split,din | leniyor,1527 | 6567,-8.740234375,-12.203125,3.462890625,1,1s,dinleniyorum,3s,dinleniyor,True,-4.3701171875,-4.681640625,0.3115234375,1,2s,dinleniyorsun,3s,dinleniyor,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_token_matched_yapmak_1p,control_token_matched_yapmak,1p,,Çok acıktık. Bu yüzden kahvaltı ,yapıyoruz,23,yapıyoruz,A_merged,yapıyoruz,6983,-5.40625,-7.78515625,2.37890625,1,1s,yapıyorum,1p,yapıyoruz,True,-5.40625,-7.78515625,2.37890625,1,1s,yapıyorum,1p,yapıyoruz,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_token_matched_yapmak_1s,control_token_matched_yapmak,1s,,Çok acıktım. Bu yüzden kahvaltı ,yapıyorum,23,yapıyorum,A_merged,yapıyorum,12367,-5.1875,-8.1640625,2.9765625,1,3s,yapıyor,1s,yapıyorum,True,-5.1875,-8.1640625,2.9765625,1,3s,yapıyor,1s,yapıyorum,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_token_matched_yapmak_2p,control_token_matched_yapmak,2p,,Çok acıktınız. Bu yüzden kahvaltı ,yapıyorsunuz,23,yapıyorsunuz,A_merged,yapıyorsunuz,20675,-5.6953125,-7.4453125,1.75,1,1p,yapıyoruz,2p,yapıyorsunuz,True,-5.6953125,-7.4453125,1.75,1,1p,yapıyoruz,2p,yapıyorsunuz,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_token_matched_yapmak_2s,control_token_matched_yapmak,2s,,Çok acıktın. Bu yüzden kahvaltı ,yapıyorsun,23,yapıyorsun,A_merged,yapıyorsun,32308,-5.859375,-6.9140625,1.0546875,1,1p,yapıyoruz,2s,yapıyorsun,True,-5.859375,-6.9140625,1.0546875,1,1p,yapıyoruz,2s,yapıyorsun,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_token_matched_yapmak_3p,control_token_matched_yapmak,3p,,Çok acıktılar. Bu yüzden kahvaltı ,yapıyorlar,23,yapıyorlar,A_merged,yapıyorlar,13167,-7.1796875,-6.984375,-0.1953125,2,1p,yapıyoruz,1p,yapıyoruz,False,-7.1796875,-6.984375,-0.1953125,2,1p,yapıyoruz,1p,yapıyoruz,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,phase1_control_token_matched_yapmak_3s,control_token_matched_yapmak,3s,,Çok acıktı. Bu yüzden kahvaltı ,yapıyor,23,yapıyor,A_merged,yapıyor,3428,-7.24609375,-7.20703125,-0.0390625,2,1p,yapıyoruz,1p,yapıyoruz,False,-7.24609375,-7.20703125,-0.0390625,2,1p,yapıyoruz,1p,yapıyoruz,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control
