model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,condition,actual_person,correct_candidate_form,mean_margin,sum_margin,mean_rank,sum_rank,mean_selected_person,sum_selected_person,mean_selected_form,sum_selected_form,mean_selected_is_correct,sum_selected_is_correct,selection_agrees,correctness_agrees
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,1p,gidiyoruz,-1.3974609375,-0.96875,5,3,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,1s,gidiyorum,-0.4287109375,0.078125,2,1,2p,1s,gidiyorsunuz,gidiyorum,False,True,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,2p,gidiyorsunuz,0.4287109375,-2.078125,1,5,2p,1s,gidiyorsunuz,gidiyorum,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,2s,gidiyorsun,-0.544921875,-3.16796875,4,6,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,3p,gidiyorlar,-2.4345703125,-2.005859375,6,4,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,3s,gidiyor,-0.5068359375,-0.078125,3,2,2p,1s,gidiyorsunuz,gidiyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,1p,çıkıyoruz,0.8154296875,3.509765625,1,1,1p,1p,çıkıyoruz,çıkıyoruz,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,1s,çıkıyorum,2.91552734375,1.7080078125,1,1,1s,1s,çıkıyorum,çıkıyorum,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,2p,çıkıyorsunuz,0.7457275390625,-1.994873046875,1,3,2p,1p,çıkıyorsunuz,çıkıyoruz,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,2s,çıkıyorsun,-0.6748046875,-3.31640625,4,5,1s,1p,çıkıyorum,çıkıyoruz,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,3p,çıkıyorlar,-0.498291015625,-2.79296875,3,5,2p,1p,çıkıyorsunuz,çıkıyoruz,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,3s,çıkıyor,-0.9873046875,0.205078125,5,1,2p,3s,çıkıyorsunuz,çıkıyor,False,True,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,1p,dinleniyoruz,0.29036458333333304,1.9140625,1,1,1p,1p,dinleniyoruz,dinleniyoruz,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,1s,dinleniyorum,0.07161458333333304,2.03515625,1,1,1s,1s,dinleniyorum,dinleniyorum,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,2p,dinleniyorsunuz,1.2670898437500004,-1.24951171875,1,4,2p,1p,dinleniyorsunuz,dinleniyoruz,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,2s,dinleniyorsun,1.1482747395833335,-0.53955078125,1,2,2s,3s,dinleniyorsun,dinleniyor,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,3p,dinleniyorlar,0.076171875,0.59375,1,1,3p,3p,dinleniyorlar,dinleniyorlar,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,3s,dinleniyor,-1.125,-1.515625,5,3,2p,1s,dinleniyorsunuz,dinleniyorum,False,False,False,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_mixed_token_dinlenmek,1p,dinleniyoruz,0.23274739583333304,1.70703125,1,1,1p,1p,dinleniyoruz,dinleniyoruz,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_mixed_token_dinlenmek,1s,dinleniyorum,0.23111979166666696,1.703125,1,1,1s,1s,dinleniyorum,dinleniyorum,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_mixed_token_dinlenmek,2p,dinleniyorsunuz,1.1282552083333335,-0.869140625,1,2,2p,3s,dinleniyorsunuz,dinleniyor,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_mixed_token_dinlenmek,2s,dinleniyorsun,1.0691731770833335,-0.64404296875,1,2,2s,3s,dinleniyorsun,dinleniyor,True,False,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_mixed_token_dinlenmek,3p,dinleniyorlar,-0.287109375,0.16015625,3,1,2s,3p,dinleniyorsun,dinleniyorlar,False,True,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_mixed_token_dinlenmek,3s,dinleniyor,-0.42415364583333304,1.400390625,3,1,2s,3s,dinleniyorsun,dinleniyor,False,True,False,False
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_token_matched_yapmak,1p,yapıyoruz,1.796875,1.796875,1,1,1p,1p,yapıyoruz,yapıyoruz,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_token_matched_yapmak,1s,yapıyorum,1.6953125,1.6953125,1,1,1s,1s,yapıyorum,yapıyorum,True,True,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_token_matched_yapmak,2p,yapıyorsunuz,-1.32421875,-1.32421875,4,4,1p,1p,yapıyoruz,yapıyoruz,False,False,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_token_matched_yapmak,2s,yapıyorsun,-1.48828125,-1.48828125,4,4,1s,1s,yapıyorum,yapıyorum,False,False,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_token_matched_yapmak,3p,yapıyorlar,-0.953125,-0.953125,4,4,1p,1p,yapıyoruz,yapıyoruz,False,False,True,True
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_token_matched_yapmak,3s,yapıyor,0.03125,0.03125,1,1,3s,3s,yapıyor,yapıyor,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,ambiguous_prodrop,1p,gidiyoruz,-1.98828125,-1.650390625,5,3,2p,3s,gidiyorsunuz,gidiyor,False,False,False,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,ambiguous_prodrop,1s,gidiyorum,-1.33203125,-0.994140625,4,2,2p,3s,gidiyorsunuz,gidiyor,False,False,False,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,ambiguous_prodrop,2p,gidiyorsunuz,0.337890625,-2.712890625,1,4,2p,3s,gidiyorsunuz,gidiyor,True,False,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,ambiguous_prodrop,2s,gidiyorsun,-0.455078125,-3.623046875,3,6,2p,3s,gidiyorsunuz,gidiyor,False,False,False,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,ambiguous_prodrop,3p,gidiyorlar,-3.19921875,-2.861328125,6,5,2p,3s,gidiyorsunuz,gidiyor,False,False,False,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,ambiguous_prodrop,3s,gidiyor,-0.337890625,0.994140625,2,1,2p,3s,gidiyorsunuz,gidiyor,False,True,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,possessive_person,1p,çıkıyoruz,1.990234375,3.4052734375,1,1,1p,1p,çıkıyoruz,çıkıyoruz,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,possessive_person,1s,çıkıyorum,2.69482421875,2.1533203125,1,1,1s,1s,çıkıyorum,çıkıyorum,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,possessive_person,2p,çıkıyorsunuz,1.045745849609375,-0.42315673828125,1,3,2p,1p,çıkıyorsunuz,çıkıyoruz,True,False,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,possessive_person,2s,çıkıyorsun,-0.4351806640625,-0.870361328125,2,4,1s,1s,çıkıyorum,çıkıyorum,False,False,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,possessive_person,3p,çıkıyorlar,-0.0283203125,-1.794921875,2,2,1p,1p,çıkıyoruz,çıkıyoruz,False,False,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,possessive_person,3s,çıkıyor,-0.24951171875,0.234375,2,1,1s,3s,çıkıyorum,çıkıyor,False,True,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,prior_predicate_person,1p,dinleniyoruz,-0.18098958333333304,1.291015625,2,1,2p,1p,dinleniyorsunuz,dinleniyoruz,False,True,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,prior_predicate_person,1s,dinleniyorum,0.51953125,1.375,1,1,1s,1s,dinleniyorum,dinleniyorum,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,prior_predicate_person,2p,dinleniyorsunuz,1.4344075520833335,-0.40380859375,1,2,2p,3s,dinleniyorsunuz,dinleniyor,True,False,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,prior_predicate_person,2s,dinleniyorsun,1.327880859375,-0.470458984375,1,2,2s,3s,dinleniyorsun,dinleniyor,True,False,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,prior_predicate_person,3p,dinleniyorlar,-0.1806640625,-0.361328125,2,2,3s,3s,dinleniyor,dinleniyor,False,False,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,prior_predicate_person,3s,dinleniyor,-0.3916015625,1.267578125,3,1,2p,3s,dinleniyorsunuz,dinleniyor,False,True,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_mixed_token_dinlenmek,1p,dinleniyoruz,-0.518880208333333,0.044921875,3,1,2p,1p,dinleniyorsunuz,dinleniyoruz,False,True,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_mixed_token_dinlenmek,1s,dinleniyorum,0.07486979166666696,0.9140625,1,1,1s,1s,dinleniyorum,dinleniyorum,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_mixed_token_dinlenmek,2p,dinleniyorsunuz,1.253173828125,-0.328369140625,1,2,2p,3s,dinleniyorsunuz,dinleniyor,True,False,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_mixed_token_dinlenmek,2s,dinleniyorsun,1.2470703125,-0.27099609375,1,2,2s,3s,dinleniyorsun,dinleniyor,True,False,False,False
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_mixed_token_dinlenmek,3p,dinleniyorlar,-1.039713541666667,-2.005859375,4,2,2p,3s,dinleniyorsunuz,dinleniyor,False,False,False,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_mixed_token_dinlenmek,3s,dinleniyor,0.3115234375,3.462890625,1,1,3s,3s,dinleniyor,dinleniyor,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_token_matched_yapmak,1p,yapıyoruz,2.37890625,2.37890625,1,1,1p,1p,yapıyoruz,yapıyoruz,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_token_matched_yapmak,1s,yapıyorum,2.9765625,2.9765625,1,1,1s,1s,yapıyorum,yapıyorum,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_token_matched_yapmak,2p,yapıyorsunuz,1.75,1.75,1,1,2p,2p,yapıyorsunuz,yapıyorsunuz,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_token_matched_yapmak,2s,yapıyorsun,1.0546875,1.0546875,1,1,2s,2s,yapıyorsun,yapıyorsun,True,True,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_token_matched_yapmak,3p,yapıyorlar,-0.1953125,-0.1953125,2,2,1p,1p,yapıyoruz,yapıyoruz,False,False,True,True
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_token_matched_yapmak,3s,yapıyor,-0.0390625,-0.0390625,2,2,1p,1p,yapıyoruz,yapıyoruz,False,False,True,True
